[2026-07-14 14:30:24] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 3.828s
[2026-07-14 14:30:33] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.032s
[2026-07-14 14:32:19] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 4.260s
[2026-07-14 14:32:28] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.033s
[2026-07-14 14:40:29] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 3.795s
[2026-07-14 14:40:38] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.035s
[2026-07-14 14:43:36] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 27.850s
[2026-07-14 14:43:45] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.036s
[2026-07-14 14:44:39] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 28.701s
[2026-07-14 14:44:48] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.035s
[2026-07-14 14:47:06] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 6.855s
[2026-07-14 14:47:15] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.036s
[2026-07-14 14:52:56] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 6.562s
[2026-07-14 14:53:05] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.037s
[2026-07-14 14:53:41] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 3.993s
[2026-07-14 14:53:50] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.035s
[2026-07-14 14:54:42] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 6.386s
[2026-07-14 14:54:51] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.039s
[2026-07-14 14:55:12] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 12.778s
[2026-07-14 14:55:22] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.036s
[2026-07-14 14:57:47] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 5.349s
[2026-07-14 14:57:56] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.036s
[2026-07-14 14:58:18] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 4.488s
[2026-07-14 14:58:27] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.035s
[2026-07-14 14:59:53] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 5.560s
[2026-07-14 15:00:02] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.035s
[2026-07-14 15:00:17] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 5.214s
[2026-07-14 15:00:26] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.036s
